id,model_name,dropout,size,batch_size_t,batch_size_v,n_targets,criterion,gradient_accumulation_steps,max_gradient_norm,optimizer,scheduler,LR,T_0,T_max,T_mult,min_lr,max_lr,no_batches,warmup_epochs,cosine_epochs,epochs,update_per_batch,num_workers,n_folds,train_transforms,valid_transforms,observations,use_swa,swa_lr,swa_epoch,use_sam,use_asam,asam_rho,print_freq,one_fold,use_apex,distributed_training,save_to_log,oof-accuracy,oof-precision,oof-recall,cross-validation,public-leaderboard
0,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,59,10,2,1e-06,0.0001,2480,1,11,12,True,4,5,[],[],,True,0.01,0,False,True,0.1,50,False,True,False,True,0.7637419354838709,0.7678120876338407,0.7637419354838709,"[0.7693548387096775, 0.7616129032258064, 0.762258064516129, 0.7612903225806451, 0.7641935483870967]",0
1,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,53,10,3,1e-06,0.0001,3100,1,5,6,True,4,5,[],[],,True,0.01,"[2, 4, 5, 6]",False,True,0.1,50,False,True,False,True,0.7530322580645161,0.7575400135881757,0.7530322580645161,"[0.7658064516129032, 0.7532258064516129, 0.7590322580645161, 0.7587096774193548, 0.7283870967741936]",0
2,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,8e-06,200,10,2,1e-06,8e-06,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3281935483870968,0.6188304023475295,0.3281935483870968,"[0.737741935483871, 0.7367741935483871]",0
3,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,1e-05,200,10,2,1e-06,1e-05,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3275483870967742,0.6292000617764021,0.3275483870967742,"[0.734516129032258, 0.7254838709677419]",0
4,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,2e-05,200,10,2,1e-06,2e-05,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3287741935483871,0.6160756473290597,0.3287741935483871,"[0.7406451612903225, 0.7435483870967742]",0
5,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,4e-05,200,10,2,1e-06,4e-05,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3308387096774193,0.6257189180555626,0.3308387096774193,"[0.7509677419354839, 0.7483870967741936]",0
6,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,6e-05,200,10,2,1e-06,6e-05,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3321290322580645,0.6417999645450639,0.3321290322580645,"[0.7574193548387097, 0.7525806451612903]",0
7,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,8e-05,200,10,2,1e-06,8e-05,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3323870967741935,0.6339292745402886,0.3323870967741935,"[0.7587096774193548, 0.7638709677419355]",0
8,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,0.0001,200,10,2,1e-06,0.0001,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3338064516129032,0.6464981360081654,0.3338064516129032,"[0.7658064516129032, 0.7612903225806451]",0
9,swin_large_patch4_window12_384_in22k,0.5,384,4,8,5,CrossEntropyLoss,1,,Adam,OneCycleLR,0.0002,200,10,2,1e-06,0.0002,3100,1,11,12,True,4,5,[],[],,True,0.01,"[7, 8, 9, 10, 11, 12]",True,True,0.1,50,True,True,False,True,0.3353548387096774,0.6611996854205239,0.3353548387096774,"[0.7735483870967742, 0.7690322580645161]",0
